Question,Answer
"How do I place an order?","Browse our menu, add items to your cart, and proceed to checkout. You'll enter delivery and payment details."
"Do I need an account to order?","No, you can check out as a guest, but an account offers faster checkout and order tracking."
"How can I track my order?","Once confirmed, you'll get a tracking link via email. You can also log into your account."
"Can I modify or cancel my order after it's been placed?","Modifications or cancellations are possible within a short window. Contact support immediately with your order number."
"What if I forgot my password?","Click 'Forgot Password' on the login page and follow the reset instructions."
"What are your delivery hours?","Our delivery hours are 10:00 AM to 10:00 PM, daily."
"Do you deliver to my area?","Enter your postcode on our homepage or at checkout to confirm delivery to your location."
"What are the delivery charges?","Delivery charges vary by location and order total. They're clearly shown at checkout."
"What if my delivery is delayed?","Check your tracking for updates. If concerns persist, contact customer support."
"Can I schedule a delivery for a specific time?","Currently, we offer delivery within a specified window."
"What payment methods do you accept?","We accept credit/debit cards (Visa, Mastercard, RuPay), NetBanking, UPI, and Cash on Delivery."
"Is it safe to pay online?","Yes, we use secure, encrypted payment gateways to protect your information."
"What if my payment fails?","Try again or use another method. If issues persist, contact your bank or our support team."
"How can I find allergen information?","Allergen details are on each product's description page. Contact us for specific dietary concerns."
"What if there's an issue with my food order?","Contact customer support immediately with details and your order number. We'll resolve it."
"How do you ensure food safety and hygiene?","We follow strict food safety and hygiene standards, from preparation to delivery. Our kitchens are regularly inspected."
"How do I create an account?","Click 'Sign Up' or 'Register' and follow the prompts to enter your details."
"Can I save multiple delivery addresses?","Yes, you can save and manage multiple addresses in your account settings."
"Is there a minimum order value?","Yes, our minimum order value is ₹150."
"How long does delivery usually take?","Delivery typically takes between 30-45 minutes, depending on your location and peak hours."
"Can I order from multiple restaurants in one order?","No, each order is placed with a single restaurant at a time."
"What if an item is out of stock?","If an item is out of stock, it will be marked as unavailable, or we'll contact you for a substitute."
"Do you offer vegetarian/vegan options?","Yes, we have a dedicated section for vegetarian and vegan dishes."
"Are your ingredients fresh?","Absolutely, we prioritize fresh, high-quality ingredients sourced daily."
"Can I leave a tip for the delivery driver?","Yes, you can add a tip during checkout, or provide it directly to the driver."
"What is your refund policy?","Refunds are issued for incorrect or damaged orders. Please see our full refund policy for details."
"How do I apply a promo code or discount?","Enter your promo code in the designated box at checkout before finalizing your order."
"Can I give feedback on my order?","Yes, you'll receive an email after delivery to rate your experience and leave feedback."
"What if I receive a damaged or incorrect item?","Please photograph the item and contact customer support immediately for a replacement or refund."
"Do you offer catering services?","Yes, we offer catering for events. Please visit our 'Catering' section for more information."
"Are there any loyalty programs or rewards?","Yes, join our loyalty program to earn points on every order, redeemable for discounts."
